Date,Strain ID,Receptor,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Mean 1,Mean 2,Mean 3,Backsub Mean Fluorescence,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,ECTOPIC EXPRESSION (NOT IN AWA) TRUE/FALSE,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 2.Project Maximum Z_XY1633103178_Z0_T0_merged.tif:2,59.125,3001.944,2316,1871,7955,177489.589,2793,3962566,2,1250.421,,,1751.523,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 2.Project Maximum Z_XY1633103178_Z0_T0_merged.tif:2,63.604,2872.94,2743,1947,9023,182730.607,2696,4079575,2,1250.421,,,1622.519,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 3.Project Maximum Z_XY1633103232_Z0_T0_merged.tif:2,41.791,4395.501,2995,2647,15819,183690.356,3689,4101002,2,1830.565,,,2564.936,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 3.Project Maximum Z_XY1633103232_Z0_T0_merged.tif:2,46.718,5069.82,3696,2787,22986,236849.898,4295,5287822,2,1830.565,,,3239.255,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 4.Project Maximum Z_XY1633103302_Z0_T0_merged.tif:2,48.823,3129.888,1847,1666,13289,152809.966,2815,3411578,2,1206.49,,,1923.398,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 4.Project Maximum Z_XY1633103302_Z0_T0_merged.tif:2,35.654,3185.137,2127,1790,11887,113563.181,2778,2535369,2,1206.49,,,1978.647,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 5.Project Maximum Z_XY1633103375_Z0_T0_merged.tif:2,39.417,3480.824,2551,1939,14303,137202.206,2925,3063125,2,1304.28,,,2176.544,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 5.Project Maximum Z_XY1633103375_Z0_T0_merged.tif:2,37.938,3327.058,2372,2071,9141,126223.476,3038,2818018,2,1304.28,,,2022.778,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 6.Project Maximum Z_XY1633103438_Z0_T0_merged.tif:2,48.33,5619.789,2077,1875,45596,271605.028,3914,6063752,2,1256.383,,,4363.406,,,,,,,,,,,,,,,,,,,,,,
20211001,PHX2465,srd-27,Post-dauer,NGM,20211001_PHX2465_srd-27-t2A-mNG_TKR01_PD_adult - 6.Project Maximum Z_XY1633103438_Z0_T0_merged.tif:2,45.329,4621.399,2107,1873,33408,209483.766,3038,4676856,2,1256.383,,,3365.016,,,,,,,,,,,,,,,,,,,,,,
