	X6665	X6666	X6667	X6668	X6669	X6670	X6671	X6672	X6673	X6674	X6675	X6676	D22_243	D22_244	D22_245	D22_246
F15D4.2	1586.50081876594	0	841.260129564607	55.9184912611211	56.5163047108337	29.3730997155025	0	0	0	76.4350346970464	42.6838886801927	66.2235771843349	0	0	973.451270340392	0
F15D4.5	116.227166209959	0	0	107.565431106462	47.4639095839902	48.2162202877117	0	0	0	681.937153135101	484.175453685767	845.209062878586	0	0	0.305732182895852	0
F15E6.10	0	0	0	17.4745285191003	12.2329663876263	70.3845974314872	0	0	0	50.8143526756901	28.0312104765444	50.0355916503864	0	0	185.273702834886	0
F15E6.3	60.050702541812	0	0	407.350675923028	116.702499337955	359.127709729163	1531.50091029529	0	0	3311.04613989328	1351.86883252789	614.162360257684	1189.78284501453	5589.36010411336	1409.42536314988	0.36423362916882
F15E6.4	0	0	0	657.042272318173	616.541505936367	702.737555457683	0	4643.94493027122	1.83376632534248	2094.9177666129	2159.0402796593	842.756337797684	1117.35620152813	3511.08728252662	1187.46379836749	1.45693451667528
F15E6.6	2179.25936643673	0	0	219.790736484684	193.036209596744	196.744347151008	0	0	0	347.160241389378	182.202868097539	184.444926083777	0	0	0	0
F15G9.1	7.74847774733059	738.641150634706	0	509.09126418979	2942.51773487964	5537.10640108652	225.868839288155	8252.81231454053	4368.03138696579	219.910854016642	1016.76845274011	622.501625532748	2454.32867685374	0	37.2993263132939	0
F15G9.2	0	0	0	9.70807139950019	10.2756917656061	2.77104714297194	0	0	0	1.28103410106782	0	0.490545016180259	0	0	792.763550248943	0
F15G9.5	0	0	0	70.6747597883614	70.4618863927277	74.8182728602423	0	27.8080534746779	0	74.726989228956	85.3677773603853	72.6006623946783	0	0.271314989763281	0	0
F15H10.7	0	0	0	424.436881586148	242.702053130506	221.129562009161	24.790482360895	0	1.83376632534248	129.384444207849	201.315057058819	176.105660808713	0	0	0	0
F15H10.8	0	3.22550720801182	0	904.015608721458	542.654388955104	338.621960871171	0	0	1.83376632534248	216.067751713438	408.363770806022	372.323667280816	0	0	285.553858824725	0
F16A11.1	0	0	39.7610508998197	142.514488144663	321.727015994573	386.838181158882	0	0	0	301.897036484982	173.920919547651	376.738572426439	28.0361200592526	0	0	0
F16B12.6	0	0	0	170.473733775223	198.418714807299	152.407592863457	0	0	0	342.46311635213	173.283846582275	247.725233171031	0	300.345693667953	0	0
F16B4.2	0	0	1538.12486375618	13.5912999593003	25.9338887417678	32.1441468584745	0	0	0	31.5988411596728	10.8302404113922	36.3003311973391	0	0	0	0
F16B4.4	1245.56779788339	0	1644.85189511886	1556.00968391189	989.891640086723	708.833859172222	4938.81498589831	1189.56673197233	3.66753265068497	1478.31335263226	1295.16933860943	1420.12782184185	588.174435409737	653.869125329508	375.439120596106	0.36423362916882
