Date,Strain ID,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Slice,Mean 1,Mean 2,Mean 3,Average Background mean fluorescence,CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,,,,,,,,,,,,,,,,,,
20210804,PY12004,Dauer,NGM,20210804_AP220_odr-10-splitgfp_SDS_dauer - 4_Project Maximum Z.tif:2,30.987,3323.76,2101,1416,16241,102992.227,2687,5793314,2,,1235.21,1262.695,1224.933,1240.946,64539.0333,,,,,,,,,,,,,,,,,,,,
20210804,PY12004,Dauer,NGM,20210804_AP220_odr-10-splitgfp_SDS_dauer - 5_Project Maximum Z.tif:2,28.338,5826.835,2289,1457,43285,165119.521,3126,9287975,2,,1260.025,1250.316,1255.423,1255.254667,129548.1143,,,,,,,,,,,,,,,,,,,,
20210804,PY12004,Dauer,NGM,20210804_AP220_odr-10-splitgfp_SDS_dauer - 6_Project Maximum Z.tif:2,28.747,6738.325,3237,1639,38124,193704.333,4029,10895871,2,,1245.496,1225.299,1266.862,1245.885667,157888.8577,,,,,,,,,,,,,,,,,,,,
20210804,PY12004,Dauer,NGM,20210804_AP220_odr-10-splitgfp_SDS_dauer - 7_Project Maximum Z.tif:2,26.133,6250.529,4967,1629,30958,163347.113,4492,9188277,2,,1196.328,1226.575,1216.212,1213.038333,131646.7822,,,,,,,,,,,,,,,,,,,,
20210804,PY12004,Dauer,NGM,20210804_AP220_odr-10-splitgfp_SDS_dauer - 8_Project Maximum Z.tif:2,15.218,7320.206,3624,1618,46152,111397.239,4087,6266096,2,,1208.814,1204.579,1209.539,1207.644,93019.31261,,,,,,,,,,,,,,,,,,,,
20210804,PY12004,Dauer,NGM,20210804_AP220_odr-10-splitgfp_SDS_dauer - 9_Project Maximum Z.tif:2,32.409,7353.351,4359,1639,49928,238313.87,4545,13405158,2,,1202.088,1228.529,1195.261,1208.626,199143.51,,,,,,,,,,,,,,,,,,,,
20210804,PY12004,Dauer,NGM,20210804_AP220_odr-10-splitgfp_SDS_dauer - 10_Project Maximum Z.tif:2,31.662,5996.077,2478,1612,44709,189849.08,3565,10679013,2,,1267.275,1295.309,1263.172,1275.252,149472.0512,,,,,,,,,,,,,,,,,,,,
20210804,PY12004,Dauer,NGM,20210804_AP220_odr-10-splitgfp_SDS_dauer - 11_Project Maximum Z.tif:2,34.987,9247.438,3004,1714,57775,323536.964,5758,18198958,2,,1244.694,1203.562,1263.287,1237.181,280251.7124,,,,,,,,,,,,,,,,,,,,
20210804,PY12004,Dauer,NGM,20210804_AP220_odr-10-splitgfp_SDS_dauer - 12_Project Maximum Z.tif:2,23.253,6671.544,2971,1421,35721,155135.594,4181,8726379,2,,1244.569,1243.532,1244.967,1244.356,126200.5839,,,,,,,,,,,,,,,,,,,,
20210804,PY12004,Dauer,NGM,20210804_AP220_odr-10-splitgfp_SDS_dauer - 13_Project Maximum Z.tif:2,33.671,6194.482,2694,1488,52037,208575.05,3510,11732349,2,,1285.459,1248.252,1260.087,1264.599333,165994.7258,,,,,,,,,,,,,,,,,,,,
20210808,PY12004,Dauer,NGM,20210808_AP220_odr-10-splitgfp_SDS_dauer_Project Maximum Z.tif:2,23.04,4953.922,1964,1554,36953,114138.341,2931,6420283,2,,1209.764,1207.286,1192.951,1203.333667,86413.53332,,,,,,,,,,,,,,,,,,,,
20210808,PY12004,Dauer,NGM,20210808_AP220_odr-10-splitgfp_SDS_dauer - 1_Project Maximum Z.tif:2,26.116,5862.329,2711,1487,38912,153097.959,3466,8611762,2,,1238.584,1195.583,1197.006,1210.391,121487.3876,,,,,,,,,,,,,,,,,,,,
20210808,PY12004,Dauer,NGM,20210808_AP220_odr-10-splitgfp_SDS_dauer - 3_Project Maximum Z.tif:2,25.458,5219.642,2036,1407,31147,132880.47,3132,7474528,2,,1221.449,1197.864,1204.2,1207.837667,102131.3387,,,,,,,,,,,,,,,,,,,,
20210808,PY12004,Dauer,NGM,20210808_AP220_odr-10-splitgfp_SDS_dauer - 4_Project Maximum Z.tif:2,19.556,5986.634,1779,1413,42248,117071.922,3744,6585297,2,,1219.767,1192.945,1237.235,1216.649,93279.13416,,,,,,,,,,,,,,,,,,,,
20210808,PY12004,Dauer,NGM,20210808_AP220_odr-10-splitgfp_SDS_dauer - 5_Project Maximum Z.tif:2,29.049,3529.966,1880,1477,18399,102541.561,2751,5767964,2,,1217.362,1223.216,1226.257,1222.278333,67035.5977,,,,,,,,,,,,,,,,,,,,
20210808,PY12004,Dauer,NGM,20210808_AP220_odr-10-splitgfp_SDS_dauer - 6_Project Maximum Z.tif:2,39.342,3751.629,2285,1376,23961,147597.391,2716,8302355,2,,1211.737,1197.474,1208.979,1206.063333,100148.4473,,,,,,,,,,,,,,,,,,,,
20210808,PY12004,Dauer,NGM,20210808_AP220_odr-10-splitgfp_SDS_dauer - 7_Project Maximum Z.tif:2,35.342,6176.21,2422,1459,44473,218280.95,3453,12278306,2,,1188.799,1187.865,1269.254,1215.306,175329.6053,,,,,,,,,,,,,,,,,,,,
20210808,PY12004,Dauer,NGM,20210808_AP220_odr-10-splitgfp_SDS_dauer - 8_Project Maximum Z.tif:2,29.582,8236.513,2177,1540,63197,243654.296,4552,13705557,2,,1232.267,1204.012,1240.466,1225.581667,207399.1391,,,,,,,,,,,,,,,,,,,,
20210808,PY12004,Dauer,NGM,20210808_AP220_odr-10-splitgfp_SDS_dauer - 9_Project Maximum Z.tif:2,30.827,6671.37,3025,1478,57053,205656.064,4449,11568156,2,,1205.908,1184.822,1245.453,1212.061,168291.8596,,,,,,,,,,,,,,,,,,,,
20210808,PY12004,Dauer,NGM,20210808_AP220_odr-10-splitgfp_SDS_dauer - 10_Project Maximum Z.tif:2,24.676,6079.419,1753,1418,44871,150013,3070,8438233,2,,1185.657,1182.642,1185.741,1184.68,120779.8363,,,,,,,,,,,,,,,,,,,,
20210808,PY12004,Dauer,NGM,20210808_AP220_odr-10-splitgfp_SDS_dauer - 11_Project Maximum Z.tif:2,27.858,6051.405,4788,1555,44897,168578.667,3705,9482552,2,,1186.333,1169.702,1184.253,1180.096,135703.5526,,,,,,,,,,,,,,,,,,,,
