Date,Strain ID,Receptor,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Slice,Mean 1,Mean 2,Mean 3,Backsub Mean Fluorescence,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,ECTOPIC EXPRESSION (NOT IN AWA) TRUE/FALSE,,,,,,,,,,,,,,,,,
20211217,PHX3508,odr-10,L3,NGM,20211217_PHX3508_odr-10-t2A-mNG_L3 - 5.Project Maximum Z_XY1639761541_Z0_T0_C0.tif,15.632,5310.719,2167,2009,17571,83018.549,4752,1853441,1,,1301.232,,,4009.487,,,,,,,,,,,,,,,,,,,,,,
20211217,PHX3508,odr-10,L3,NGM,20211217_PHX3508_odr-10-t2A-mNG_L3 - 6.Project Maximum Z_XY1639761602_Z0_T0_C0.tif,18.992,4983.05,3822,2475,13850,94636.231,4574,2112813,1,,1287.17,,,3695.88,,,,,,,,,,,,,,,,,,,,,,
20211217,PHX3508,odr-10,L3,NGM,20211217_PHX3508_odr-10-t2A-mNG_L3 - 6.Project Maximum Z_XY1639761602_Z0_T0_C0.tif,27.144,5310.983,3829,2415,19458,144159.727,4861,3218456,1,,1287.17,,,4023.813,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer.Project Maximum Z_XY1636340566_Z0_T0_C0.tif,15.991,12699.325,10358,4046,30013,203069.746,12467,4533659,,,1188.458,,,11510.867,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer.Project Maximum Z_XY1636340566_Z0_T0_C0.tif,16.618,10717.27,7351,3358,29619,178096.112,10341,3976107,,,1188.458,,,9528.812,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 1.Project Maximum Z_XY1636340614_Z0_T0_C0.tif,17.066,12507.614,8053,3457,27509,213449.836,12540,4765401,,,1219.94,,,11287.674,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 1.Project Maximum Z_XY1636340614_Z0_T0_C0.tif,17.245,12993.997,8066,3977,32554,224078.34,13141,5002689,,,1219.94,,,11774.057,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 2.Project Maximum Z_XY1636340674_Z0_T0_C0.tif,15.498,12449.306,12428,4732,31801,192937.936,12381,4307460,,,1287.895,,,11161.411,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 2.Project Maximum Z_XY1636340674_Z0_T0_C0.tif,17.155,13407.825,10772,3450,25009,230013.583,13504,5135197,,,1287.895,,,12119.93,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 3.Project Maximum Z_XY1636340770_Z0_T0_C0.tif,17.558,16736.992,13474,7066,36079,293873.117,16203,6560901,,,1213.677,,,15523.315,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 3.Project Maximum Z_XY1636340770_Z0_T0_C0.tif,17.693,16444.038,12717,4730,38942,290938.999,16341,6495395,,,1213.677,,,15230.361,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 4.Project Maximum Z_XY1636340811_Z0_T0_C0.tif,15.229,14350.518,11771,5735,31746,218545.998,14021,4879176,,,1215.943,,,13134.575,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 4.Project Maximum Z_XY1636340811_Z0_T0_C0.tif,16.797,14130.904,11664,4585,33178,237354.565,13852,5299089,,,1215.943,,,12914.961,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 5.Project Maximum Z_XY1636340872_Z0_T0_C0.tif,15.498,15343.159,8755,5524,52556,237786.535,14048,5308733,,,1216.692,,,14126.467,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 5.Project Maximum Z_XY1636340872_Z0_T0_C0.tif,19.171,14549.923,13669,5380,26870,278933.602,14223,6227367,,,1216.692,,,13333.231,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 6.Project Maximum Z_XY1636340920_Z0_T0_C0.tif,13.348,18481.779,16532,5991,52018,246692.758,16735,5507570,,,1218.154,,,17263.625,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 6.Project Maximum Z_XY1636340920_Z0_T0_C0.tif,11.646,14982.119,11925,3811,39159,174478.923,13868,3895351,,,1218.154,,,13763.965,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 7.Project Maximum Z_XY1636340976_Z0_T0_C0.tif,18.365,12575.122,9106,4442,27367,230936.424,12484,5155800,,,1241.832,,,11333.29,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 7.Project Maximum Z_XY1636340976_Z0_T0_C0.tif,15.005,15303.149,11882,5713,36723,229626.494,14316,5126555,,,1241.832,,,14061.317,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 8.Project Maximum Z_XY1636341023_Z0_T0_C0.tif,18.006,17621.308,13660,7755,46458,317293.066,16543,7083766,,,1213.467,,,16407.841,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 8.Project Maximum Z_XY1636341023_Z0_T0_C0.tif,16.035,17070.008,13504,6706,36654,273724.162,16698,6111063,,,1213.467,,,15856.541,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 9.Project Maximum Z_XY1636341077_Z0_T0_C0.tif,19.171,14600.554,14050,4983,33863,279904.236,14179,6249037,,,1211.381,,,13389.173,,,,,,,,,,,,,,,,,,,,,,
20211107,PHX3508,odr-10,Dauer,NGM,20211107_PHX3508_odr-10-t2A-mNG_SDS_dauer - 9.Project Maximum Z_XY1636341077_Z0_T0_C0.tif,17.379,14251.93,9063,6680,25933,247686.19,14072,5529749,,,1211.381,,,13040.549,,,,,,,,,,,,,,,,,,,,,,
20211108,PHX3508,odr-10,Dauer,NGM,20211108_PHX3508_odr-10-t2A-mNG_SDS_dauer.Project Maximum Z_XY1636406400_Z0_T0_C0.tif,16.931,20813.23,21132,6161,51415,352393.315,19334,7867401,,,1245.439,,,19567.791,,,,,,,,,,,,,,,,,,,,,,
20211108,PHX3508,odr-10,Dauer,NGM,20211108_PHX3508_odr-10-t2A-mNG_SDS_dauer.Project Maximum Z_XY1636406400_Z0_T0_C0.tif,19.977,19128.57,21338,6125,37947,382132.281,19680,8531342,,,1245.439,,,17883.131,,,,,,,,,,,,,,,,,,,,,,
