,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ZK909.3,74.36508207,0.732103476,2.134614472,0.34300289,0.731596286,0.988447238
ZK909.6,38.25519249,7.045272193,2.457528268,7.521343508,NA,NA
ZK930.4,32.03663454,-6.956435716,2.456911822,-7.974112563,NA,NA
ZK930.6,423.7128309,-3.79609873,2.401085198,-1.586977193,NA,NA
ZK930.7,463.8651575,9.908165228,2.452658968,8.93349609,NA,NA
ZK938.1,549.9123586,-5.318727213,2.402263333,-2.230566842,0.025709835,0.107151606
ZK938.10,104.5641278,-8.313874437,2.454204094,-8.504868535,NA,NA
ZK938.3,1276.070938,-10.93007663,2.444866208,-4.998934496,5.76E-07,7.67E-06
ZK945.7,2045.424852,0.994976627,2.400165282,0.414671205,0.678382614,0.981289047
ZK971.1,350.3624557,-2.251454501,2.400579481,-0.939098835,0.347680003,0.767711862
ZK973.1,55.8002877,-4.352364853,2.410662047,-1.808927845,0.070462214,0.247437077
ZK973.11,2807.09343,7.932009923,2.403178016,3.363513493,NA,NA
ZK994.6,24.19658324,6.521495948,2.458857034,7.567846691,NA,NA
aagr-1,2378.622044,-3.388976074,2.257073234,-1.50437272,0.132485424,0.399057068
aagr-2,1472.815444,1.14913746,2.072607759,0.554513035,0.579227787,0.961949363
aagr-3,979.7830279,4.338857378,2.219682458,1.960014654,0.049994078,0.188546348
aagr-4,1334.966082,0.797220036,1.978213673,0.403022883,NA,NA
aak-1,334.6783434,2.463279092,2.400690822,1.027821488,NA,NA
aak-2,623.1798455,-5.058185003,2.401691009,-2.120584825,NA,NA
aakb-1,194.9848482,7.266992217,2.426108337,3.038558834,NA,NA
aakg-1,110.425837,-2.220894056,2.297109235,-0.967606131,NA,NA
aakg-2,10.86511018,5.608114835,2.461888197,7.195598397,NA,NA
aakg-3,307.1994619,-9.55048332,2.452396524,-8.997479244,NA,NA
aars-1,207.5880571,-8.222087044,2.440541662,-3.557964931,NA,NA
aars-2,27.57760725,5.284659258,2.441290492,2.202511949,NA,NA
aat-2,983.8642682,10.63575545,2.449965474,4.911819506,NA,NA
aat-3,117.4403105,7.545040433,2.446541636,3.257322025,NA,NA
aat-5,1460.939265,-0.332352062,2.400175916,-0.138447794,NA,NA
aat-6,379.3824249,1.869812533,2.40048911,0.779642282,NA,NA
abcf-1,1656.372221,3.587848363,2.265587975,1.587254965,0.112454911,0.350515699
abcf-2,1636.643727,-0.3513902,1.909365853,-0.18402577,0.853993239,0.991411913
abcf-3,316.3378807,3.186713946,2.40105296,1.330724953,0.183279529,0.501782031
abf-4,122.3615807,-8.493962214,2.453911587,-8.578986579,NA,NA
abf-5,795.9606621,1.338157144,2.400258131,0.557782732,0.576992756,0.961083394
