,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
67,C29F7.2,83.29745038,-8.052842216,2.454650357,-8.001752249,1.23E-15,1.91E-14
68,C29F7.3,529.7193469,8.352987888,2.357446808,3.585657303,0.00033623,0.002348826
69,C30F12.2,393.0673232,9.717975082,2.452908118,8.356283774,6.47E-17,1.20E-15
70,C30G7.3,311.3917531,-5.893531928,2.399015539,-2.474543241,0.013340667,0.060619744
71,C30H6.9,198.7078683,-9.050323979,2.453075433,-8.79881112,1.38E-18,4.11E-17
72,C32E12.4,349.2435899,-9.02767115,2.442347978,-3.934695625,8.33E-05,0.000728384
73,C32E8.5,15.10203938,6.228230519,2.290217746,2.772447107,0.005563656,0.027896441
74,C33F10.12,687.7030225,-9.442987795,2.254039689,-4.234666465,2.29E-05,0.000231009
75,C34B2.9,425.1422596,8.003871226,2.420783145,3.331800377,0.000862861,0.005268419
76,C34C12.4,787.1323498,9.670472233,2.437020976,4.172543861,3.01E-05,0.000292718
77,C34F11.5,263.9766599,-4.797563809,2.2879688,-2.103543778,0.035418263,0.142034831
78,C34H4.2,337.2862602,-8.725080229,1.943576091,-4.558964135,5.14E-06,6.01E-05
79,C35D10.17,20.11688193,6.309256577,2.459466964,7.48144891,7.35E-14,1.05E-12
80,C35D10.8,293.8455735,9.383209962,2.453365021,8.722037247,2.73E-18,7.35E-17
81,C35E7.9,297.3495255,-7.445045234,2.263591725,-3.300174757,0.000966246,0.005818226
82,C37A2.8,891.0686314,11.12813688,2.265687175,4.990462571,6.02E-07,7.95E-06
83,C38C3.3,509.4648904,5.413872695,2.402800408,2.271898892,0.023092618,0.097906715
84,C38C6.3,1074.03253,4.813310276,2.400947307,2.018224656,0.043567869,0.169535611
85,C39B10.1,740.3162367,10.17099277,2.448870717,4.539416594,5.64E-06,6.49E-05
86,C39B5.5,488.2105791,-5.788752192,2.192036499,-2.64891238,0.008075126,0.03885165
87,C39D10.7,33.32197951,-5.313107623,2.095423944,-2.525248117,0.011561663,0.053323989
88,C41H7.4,462.5512453,-8.853551363,2.431919132,-3.815103139,0.000136126,0.0011204
89,C42D4.18,239.1597158,9.146777779,2.453703034,8.36346599,6.09E-17,1.16E-15
90,C43G2.3,29.19290893,-4.819020032,2.427115204,-1.979447263,0.047765672,0.181717665
91,C44B7.11,624.6087461,10.59050526,2.31475634,4.657715087,3.20E-06,3.83E-05
92,C44B9.2,676.1028506,8.940533284,2.425757235,3.783706406,0.00015451,0.001240504
93,C45B11.6,550.8651101,-5.89040542,2.331728305,-2.542461577,0.01100747,0.051302254
94,C45G9.6,1577.740152,7.57979456,2.152010272,3.541628218,0.000397666,0.002687181
95,C46C2.2,2037.433261,5.080394553,2.24222563,2.275252547,0.022890784,0.097366435
96,C46H11.6,74.39844752,-7.922260572,2.454884526,-8.353736214,6.61E-17,1.22E-15
97,C47D2.1,320.0101908,8.549986397,2.439351946,3.577973785,0.000346268,0.002406104
98,C47E8.11,415.1476202,9.780464057,2.452825407,8.881250183,6.61E-19,2.45E-17
99,C48B6.10,200.572107,-6.000445928,2.252882377,-2.667412406,0.007643781,0.036957494
100,C49C8.5,3519.671228,11.169684,2.357722143,4.981838513,6.30E-07,8.27E-06
101,C50D2.1,1437.934777,-10.31424003,2.430103966,-4.49021277,7.12E-06,7.96E-05
102,C50D2.10,5.916992901,-5.020102486,2.464228468,-2.113636922,0.03454629,0.139392327
103,C50E3.6,3906.949349,6.833567364,2.401102109,2.887547933,0.003882574,0.020351118
104,C51E3.6,1986.374046,5.711251197,2.400972041,2.40250856,0.016283053,0.0728101
105,C54C6.6,614.4976397,-10.31493282,2.449888362,-9.311414668,1.26E-20,1.71E-18
106,C55A6.4,538.2711554,10.07945084,2.452440647,9.001641041,2.22E-19,1.08E-17
107,C56C10.11,1509.085478,9.59018825,2.41884841,4.036201992,5.43E-05,0.000500643
108,CC8.2,1271.264262,8.394076118,2.409505955,3.547373404,0.000389093,0.002656357
109,CD4.1,1261.406844,11.0580566,2.451212194,9.350950547,8.69E-21,1.44E-18
110,D1086.12,618.4831304,7.54003378,2.410406869,3.171626497,0.001515878,0.008650201
111,D1086.7,1377.695484,7.909109375,2.08496765,3.808708771,0.000139694,0.001144969
112,D2013.13,32.3218151,-6.966222473,2.456888036,-7.976014137,1.51E-15,2.31E-14
113,D2013.6,497.0071753,-10.08417445,2.45077998,-9.213662444,3.15E-20,2.63E-18
114,D2030.3,261.2198144,-9.36406696,2.452642436,-8.920062878,4.66E-19,1.91E-17
115,E01A2.2,958.7203577,-5.090776252,2.1727626,-2.350467385,0.018749851,0.082339949
116,EGAP4.1,293.1979123,-8.967283157,2.445424327,-3.873584129,0.000107246,0.000913339
117,F01D5.1,447.0475221,-7.246447646,2.196152865,-3.315987932,0.000913198,0.005558472
118,F01G10.10,218.2077088,-8.278888526,2.440323905,-3.582145358,0.000340784,0.002372196
119,F01G4.5,468.0544169,-10.01911822,2.451037011,-9.187334672,4.03E-20,3.16E-18
120,F02A9.4,420.0511788,-7.903012196,2.179008899,-3.623374571,0.000290784,0.00206815
121,F02D10.10,64.61165766,-7.761011212,2.455184796,-3.260530118,0.001112042,0.006604955
122,F02E11.2,219.1184339,9.046121992,2.453851095,8.586875688,8.94E-18,1.98E-16
123,F02E9.5,620.4877476,8.860890175,2.22284253,3.995129848,6.47E-05,0.000584909
124,F07B7.12,64.79257147,6.238574211,2.436309455,2.564905917,0.010320378,0.048582501
125,F07G6.10,1544.470345,10.07368483,2.425895505,4.380169681,1.19E-05,0.000127206
126,F08F8.6,1953.843157,11.53444904,2.449400216,9.598609209,8.10E-22,2.89E-19
127,F09E5.11,66.53669097,-7.117447798,2.447828937,-3.138053845,0.001700736,0.009621168
128,F09E5.3,210.1539735,-9.114493009,2.452984804,-3.824203192,0.000131196,0.001086655
129,F09F7.5,136.0806451,-8.61531577,2.453720916,-3.616502918,0.00029861,0.002112329
130,F09G2.8,372.7836521,-7.872961761,2.382439935,-3.347632052,0.000815051,0.005015505
131,F10A3.17,178.7820961,8.811910096,2.454205907,8.109219559,5.09E-16,8.07E-15
132,F10C2.4,96.79086621,-8.223532165,2.454355422,-8.474274914,2.37E-17,4.84E-16
133,F10E9.2,241.6870795,7.730982909,2.429424371,3.203858847,0.001355989,0.007851939
134,F10G7.5,1202.710732,-4.764926683,2.400780242,-1.99744928,0.045776399,0.175907961
135,F11E6.8,540.5174713,-10.17538145,2.450423841,-9.252864732,2.19E-20,2.15E-18
136,F11E6.9,632.6897461,9.243070343,2.17140736,4.404656053,1.06E-05,0.000115226
137,F13B9.1,180.2616078,-6.166991928,2.283316392,-2.705851594,0.006812949,0.03328813
138,F13D12.5,385.1654525,9.694388008,2.452939525,8.846910268,9.00E-19,2.94E-17
139,F13E9.1,295.7723284,8.3616022,2.437633758,3.583116787,0.000339519,0.002367585
140,F13E9.11,2161.802639,-11.15206181,2.436029152,-4.831706254,1.35E-06,1.72E-05
141,F13E9.12,156.518856,-8.775796117,2.453476152,-3.683328962,0.000230208,0.001706989
142,F13G3.7,1031.697,10.82818475,2.451547769,9.302924355,1.37E-20,1.74E-18
143,F13H10.8,280.3566789,9.329527805,2.453440607,8.291882446,1.11E-16,2.00E-15
144,F14D7.6,85.55846877,-8.082578298,2.454598093,-8.407314627,4.20E-17,8.19E-16
145,F14D7.7,229.5682031,6.906305224,2.417332242,2.898294383,0.003751982,0.019719254
146,F15B9.8,226.387364,-9.200253348,2.452865375,-8.858302261,8.12E-19,2.75E-17
147,F16A11.1,4.941552546,-4.818901032,2.465486744,-2.02841305,0.042518109,0.166095619
148,F17C11.22,400.9498046,-9.850753754,2.451714137,-8.734389739,2.45E-18,6.68E-17
149,F19B10.1,209.3379086,-9.109564429,2.452991726,-8.807825638,1.28E-18,3.92E-17
150,F19F10.12,602.0599748,-8.786378132,2.423752247,-3.72142106,0.000198105,0.001513151
151,F20G2.3,3071.011582,11.86851228,2.392801428,5.376237166,7.61E-08,1.07E-06
152,F21C10.3,437.9937763,9.842324703,2.45274441,8.856440863,8.26E-19,2.77E-17
153,F21D5.7,1074.640708,-5.118706143,2.222206153,-2.312028195,0.02077613,0.090229076
154,F22B3.8,32.91561637,-6.291072812,2.450035071,-2.798975577,0.005126501,0.026070783
155,F22B5.10,52.91986283,-5.733617016,2.238737494,-2.551195653,0.010735404,0.050235037
156,F22B8.7,866.1341305,9.767701162,2.436188415,4.218524312,2.46E-05,0.000246125
157,F22F4.1,712.8096271,8.368318181,2.264914683,3.720082667,0.000199158,0.001518238
158,F23B12.7,628.7978953,-6.305684487,2.26622578,-2.799231272,0.005122443,0.026070783
159,F23H12.7,555.7928927,-10.20568857,2.450306585,-9.266082973,1.93E-20,1.94E-18
160,F25A2.1,25.65880322,-6.701542501,2.457561356,-2.818362875,0.004826922,0.024739553
161,F25B5.6,3648.847688,7.241883752,1.968634696,3.688954954,0.000225177,0.001683896
162,F25D7.10,65.99686147,-4.914441003,2.413247021,-2.04211689,0.041139938,0.16119301
163,F25H2.6,1188.272201,-11.16715056,2.325637823,-5.278292897,1.30E-07,1.82E-06
164,F26E4.2,5.934298194,-5.0339526,2.462789866,-2.119556275,0.034043483,0.137504851
165,F26G1.11,277.5935926,-9.434400797,2.452548719,-8.951471203,3.51E-19,1.53E-17
166,F28H7.8,537.2000081,-8.92426104,2.429116395,-3.745438476,0.000180079,0.001407405
167,F30A10.12,105.3982348,-8.119596162,2.452743386,-3.809477337,0.000139261,0.001143804
168,F30F8.5,910.3347844,10.68405002,2.451712373,8.940753179,3.87E-19,1.65E-17
169,F32D8.1,589.8694048,-8.227530928,1.950462285,-4.20618498,2.60E-05,0.000256839
170,F32H5.3,608.1853359,10.21977907,2.452265929,9.056883454,1.34E-19,7.12E-18
171,F35C11.7,365.5790505,8.342655244,2.430426928,3.491371236,0.000480548,0.003128742
172,F36A2.12,271.5534686,-7.856513693,2.367906067,-3.378630547,0.000728478,0.00457601
173,F36A2.9,1065.064087,6.744214037,2.221248348,3.053991231,0.002258187,0.012416865
174,F36D3.4,148.5858157,-6.128047582,2.151047784,-2.852459498,0.004338234,0.022558817
175,F36F2.7,743.5183418,10.17591793,2.448856637,4.541483724,5.59E-06,6.45E-05
176,F36H1.3,130.1978859,-6.644276451,2.422891966,-2.766857426,0.00565995,0.028235025
177,F37A4.1,831.3673883,-8.591596875,2.41520126,-3.618892094,0.000295867,0.002096703
178,F38A5.6,57.23640655,-7.620367806,2.455457574,-8.235858501,1.78E-16,2.99E-15
179,F38B2.4,1813.896027,4.751450245,2.400587303,1.992541641,0.046311661,0.177212068
180,F39B2.3,126.2923624,-5.3731947,2.409698192,-2.238895663,0.025162706,0.105430931
181,F39G3.2,269.2855147,-9.399122949,2.452595583,-8.937528684,3.98E-19,1.68E-17
182,F40D4.16,504.1504545,-10.09980004,2.450718617,-9.168692136,4.79E-20,3.38E-18
183,F40E10.5,989.1506487,-10.05337157,2.259521043,-4.506577122,6.59E-06,7.45E-05
184,F40E10.6,181.4973377,-8.289920648,2.445193281,-3.62029651,0.000294266,0.002089126
185,F40F12.3,536.0876931,5.486911348,2.402804819,2.30149475,0.021363682,0.092067854
