Date,Strain ID,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Mean 1,Mean 2,Mean 3,Average Background mean fluorescence,CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,,,,,,,,,,,,,,,,,,
20210730,PY12402,Control,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 6_Project Maximum Z.tif:2,16.249,5721.649,1552,1397,17229,92970.436,4510,5229587,2,1343.237,1330.058,1384.845,1352.713333,70990.19705,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Control,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 7_Project Maximum Z.tif:2,21.031,5905.232,3587,1417,25404,124193.6,4260,6985890,2,1273.986,1335.103,1393.179,1334.089333,96136.36723,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Control,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 8_Project Maximum Z.tif:2,15.769,6040.223,3283,1610,22609,95247.609,4680,5357678,2,1366.383,1315.826,1233.404,1305.204333,74665.84187,,,,,,,,,,,,,,,,,,,,
20210730,PY12402,Control,NGM,20210730_TKR15_odr-10PdelDAF16_odr-10-splitgfp_control_adult - 9_Project Maximum Z.tif:2,9.724,8894.492,2954,2443,28455,86493.991,6989,4865287,2,1316.38,1336.914,1269.369,1307.554333,73779.33266,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD_Project Maximum Z.tif:2,17.973,6013.64,4257,1519,28266,108085.156,3764,6079790,2,1441.557,1365.219,1333.12,1379.965333,83283.03906,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 1_Project Maximum Z.tif:2,15.538,7735.729,2539,1525,32474,120196.036,3963,6761027,2,1306.138,1313.119,1307.187,1308.814667,99859.67371,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 2_Project Maximum Z.tif:2,13.849,4936.069,4002,1700,21552,68359.076,3334,3845198,2,1293.528,1269.395,1279.988,1280.970333,50618.91785,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 3_Project Maximum Z.tif:2,14.56,6625.56,2469,1814,34489,96468.16,4105,5426334,2,1336.843,1336.5,1396.725,1356.689333,76714.76331,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 4_Project Maximum Z.tif:2,10.951,7635.776,2401,1861,34210,83620.231,4856,4703638,2,1294.258,1322.984,1532.443,1383.228333,68472.49752,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 5_Project Maximum Z.tif:2,22.009,5780.837,1874,1389,27720,127229.796,3279,7156676,2,1248.469,1250.214,1234.69,1244.457667,99840.52721,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 6_Project Maximum Z.tif:2,15.324,5175.218,2948,1653,23006,79307.342,3364,4461038,2,1305.577,1241.517,1247.23,1264.774667,59925.93501,,,,,,,,,,,,,,,,,,,,
