Date,Strain ID,Condition,Plate,File name/#,Area,Mean,Mode,Min,Max,Integrated Density,Median,Raw Integrated Density,Ch,Slice,Mean 1,Mean 2,Mean 3,Average Background mean fluorescence,RAW CTCF or corrected total cell fluorescence = Raw integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),CTCF or corrected total cell fluorescence = Integrated density - (area of ROI X mean fluoresence of background readings),,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 9_Project Maximum Z.tif:2,19.822,6598.665,1556,1432,35394,130800.196,3763,7357511,2,,1258.959,1255.98,1283.474,1266.137667,7332413.619,105702.8152,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 10_Project Maximum Z.tif:2,20.373,7087.627,1999,1624,27311,144398.578,4108,8122420,2,,1244.058,1371.544,1253.212,1289.604667,8096146.884,118125.4621,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 11_Project Maximum Z.tif:2,21.529,7303.036,2486,1622,38873,157226.258,4099,8843977,2,,1271.322,1271.946,1240.716,1261.328,8816821.869,130071.1275,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 12_Project Maximum Z.tif:2,20.178,9119.819,2165,1863,42991,184017.671,7379,10350994,2,,1321.675,1319.396,1241.449,1294.173333,10324880.17,157903.8415,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 13_Project Maximum Z.tif:2,19.004,6798.905,2091,1683,28404,129209.404,4865,7268029,2,,1245.85,1267.893,1257.866,1257.203,7244137.114,105317.5182,,,,,,,,,,,,,,,,,,,,
20210730,PY12004,Post-dauer,NGM,20210730_AP220_odr-10-splitgfp_SDS_PD - 14_Project Maximum Z.tif:2,21.938,7799.975,1549,1419,30858,171114.116,5297,9625169,2,,1271.983,1250.895,1247.75,1256.876,9597595.654,143540.7703,,,,,,,,,,,,,,,,,,,,
20210803,PY12004,Post-dauer,NGM,20210803_AP220_odr-10-splitgfp_SDS_PD_Project Maximum Z.tif:2,16.516,3811.69,1918,1294,12705,62952.178,2536,3541060,2,,1194.329,1166.052,1204.792,1188.391,3521432.534,43324.71224,,,,,,,,,,,,,,,,,,,,
20210803,PY12004,Post-dauer,NGM,20210803_AP220_odr-10-splitgfp_SDS_PD - 1_Project Maximum Z.tif:2,17.351,3369.708,1428,1303,10271,58468.178,2469,3288835,2,,1186.383,1197.69,1187.718,1190.597,3268176.951,37810.12945,,,,,,,,,,,,,,,,,,,,
20210803,PY12004,Post-dauer,NGM,20210803_AP220_odr-10-splitgfp_SDS_PD - 2_Project Maximum Z.tif:2,10.276,3263.801,2157,1336,9804,33537.369,2163,1886477,2,,1174.583,1173.303,1194.476,1180.787333,1874343.229,21403.59836,,,,,,,,,,,,,,,,,,,,
20210803,PY12004,Post-dauer,NGM,20210803_AP220_odr-10-splitgfp_SDS_PD - 3_Project Maximum Z.tif:2,4.924,2343.282,1398,1327,5372,11539.36,2125,649089,2,,1207.756,1210.348,1209.047,1209.050333,643135.6362,5585.996159,,,,,,,,,,,,,,,,,,,,
